Text,Cats,Description,Ayah,Hadith,Quote,Other
الصدق في البيع بركة.,الصدق,التزم بالشفافية في معاملاتك؛ الثقة رأس مال لا يُقدّر بثمن.,وأوفوا الكيل والميزان بالقسط,,البيعان بالخيار ما لم يتفرقا – رواه البخاري,
التواضع يحفظك من السقوط.,التواضع,عندما تنجح، انسب الفضل لله وتجنب الكبر.,,,,
احذر الغفلة فهي بداية الانحدار.,مجاهدة النفس,"لا تسمح لنفسك بالانجراف خلف الشهوات الصغيرة؛ الاستهانة بالذنب تفتح بابًا أكبر.",ولا تتبع الهوى فيضلك,,,
اجعل بيتك مكان أمان لا توتر.,مكارم الأخلاق,"ابدأ بالسلام والكلمة الطيبة، فالبيت أول ساحة تظهر فيها أخلاقك.",,,,
التوكل يمنحك سكينة القرار.,التوكل على الله,"بعد الاستخارة، لا تتردد كثيرًا. امضِ بثقة أن الله يدبر لك الخير.",,,,
حفظ اللسان نصف النجاة.,حفظ اللسان,"تجنب نقل الأخبار بلا تثبت. ليس كل ما يُقال يُنقل.",,,,
العفو يحررك من الماضي.,العفو,"سامح لتبدأ صفحة جديدة. العفو لا يغير الماضي لكنه يغير مستقبلك.",,,,
إتقان العمل رسالة إيمان.,إتقان العمل,"اجعل الجودة معيارك حتى في الأمور الصغيرة.",,,,
الصحبة الصالحة درع في الفتن.,الصحبة الصالحة,"في زمن الفتن، الصديق الصالح يحميك من الانزلاق.",,,,
الشكر يورث القناعة.,الشكر,"كلما شكرت، قلّ تعلقك بما ليس عندك.",,,,
الصبر عند طول الطريق ثبات.,الصبر,"لا تملّ من بطء النتائج؛ الاستمرار يصنع الفارق.",,,,
إخلاص النية يحفظك من الرياء.,إخلاص النية,"جدد نيتك باستمرار، فالقلوب تتقلب.",,,,
بر الوالدين سبب لرضا الله.,بر الوالدين وصلة الرحم,"لا ترفع صوتك عليهما مهما اختلفتما.",,,,
كظم الغيظ شجاعة داخلية.,كظم الغيظ,"عند الغضب، توضأ أو غيّر مكانك.",,,,
المال نعمة إن استُعمل في الخير.,المال والرزق,"تذكر أن المال وسيلة لا غاية.",,,,
حفظ الوقت يبدأ بإدارة الهاتف.,حفظ الوقت,"قلل الإشعارات وحدد أوقاتًا خالية من المشتتات.",,,,
مكارم الأخلاق أساس العلاقات.,مكارم الأخلاق,"الاحترام المتبادل يحفظ الود حتى في الاختلاف.",,,,
التوبة تجدد الأمل.,التوبة,"لا تدع الشيطان يقنعك أن باب الرحمة مغلق.",,,,
الرفق مع النفس مهم.,الرفق,"لا تقسُ على نفسك في التقصير؛ أصلح بهدوء.",,,,
الصدق مع النفس بداية الإصلاح.,الصدق,"اعترف بأخطائك أولًا بينك وبين نفسك.",,,,
